item.start,item.end,item.tweet_count
2022-01-21T16:10:30.000Z,2022-01-21T17:00:00.000Z,24587
2022-01-21T17:00:00.000Z,2022-01-21T18:00:00.000Z,27214
2022-01-21T18:00:00.000Z,2022-01-21T19:00:00.000Z,23795
2022-01-21T19:00:00.000Z,2022-01-21T20:00:00.000Z,23847
2022-01-21T20:00:00.000Z,2022-01-21T21:00:00.000Z,22932
2022-01-21T21:00:00.000Z,2022-01-21T22:00:00.000Z,21683
2022-01-21T22:00:00.000Z,2022-01-21T23:00:00.000Z,26339
2022-01-21T23:00:00.000Z,2022-01-22T00:00:00.000Z,23575
2022-01-22T00:00:00.000Z,2022-01-22T01:00:00.000Z,19862
2022-01-22T01:00:00.000Z,2022-01-22T02:00:00.000Z,18576
2022-01-22T02:00:00.000Z,2022-01-22T03:00:00.000Z,17012
2022-01-22T03:00:00.000Z,2022-01-22T04:00:00.000Z,16800
2022-01-22T04:00:00.000Z,2022-01-22T05:00:00.000Z,16839
2022-01-22T05:00:00.000Z,2022-01-22T06:00:00.000Z,18350
2022-01-22T06:00:00.000Z,2022-01-22T07:00:00.000Z,20487
2022-01-22T07:00:00.000Z,2022-01-22T08:00:00.000Z,19990
2022-01-22T08:00:00.000Z,2022-01-22T09:00:00.000Z,23046
2022-01-22T09:00:00.000Z,2022-01-22T10:00:00.000Z,22102
2022-01-22T10:00:00.000Z,2022-01-22T11:00:00.000Z,23093
2022-01-22T11:00:00.000Z,2022-01-22T12:00:00.000Z,23010
2022-01-22T12:00:00.000Z,2022-01-22T13:00:00.000Z,24196
2022-01-22T13:00:00.000Z,2022-01-22T14:00:00.000Z,26042
2022-01-22T14:00:00.000Z,2022-01-22T15:00:00.000Z,25623
2022-01-22T15:00:00.000Z,2022-01-22T16:00:00.000Z,25217
2022-01-22T16:00:00.000Z,2022-01-22T17:00:00.000Z,27238
2022-01-22T17:00:00.000Z,2022-01-22T18:00:00.000Z,24472
2022-01-22T18:00:00.000Z,2022-01-22T19:00:00.000Z,24926
2022-01-22T19:00:00.000Z,2022-01-22T20:00:00.000Z,22958
