item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
Hester Peirce,613649581,HesterPeirce,79198,917,1562,851
Alex Gladstein 🌋 ⚡,19721574,gladstein,159098,2704,76435,2001
Rodney Glassman,21230289,rodneyglassman,1983,1424,546,107
Elizabeth Warren,970207298,SenWarren,7030559,515,9191,19890
Bitcoin News,3367334171,BTCTN,2312348,921,24849,10327
WendyO.eth,935742315389444096,CryptoWendyO,249076,920,28436,2256
KGUN 9 On Your Side,20205271,kgun9,65158,538,116973,846
Mike Germano,10913242,mikegermano,8839,1992,10846,482
Jack Kelly,18739385,jackjaykelly,11522,1292,54093,308
Alice “Big Al” Moran,44141752,Alice_Moran,14535,420,14735,77
Nicholas Merten,892429154121068544,Nicholas_Merten,108560,862,1496,1228
David Gokhshtein,170049408,davidgokhshtein,594364,717,83075,2225
Sven Henrich,714051110,NorthmanTrader,346841,67,30035,6005
Chris Katje (Chrisopedia),1009613448,chriskatje,10524,2982,11685,268
leeor.btc,3064895680,LeeorShimron,3063,796,1611,52
David Chartier,35383,chartier,9581,1322,110329,892
Barry Burns,514663060,DasGiftBerlin,13194,1019,16846,105
CoinDesk,1333467482,CoinDesk,2643044,1466,88471,19236
Natalie ₿runell,543483223,natbrunell,155807,3660,12426,956
Alejandro Muyshondt ⚡,307980074,AMuyshondt,163000,609,849,149
Watcher.Guru,1387497871751196672,WatcherGuru,575224,20,4401,961
Laura Shin,26377478,laurashin,189154,2220,16491,4948
Unchained Capital,798698426259148800,unchainedcap,28059,641,4669,602
Hong Fang (Okcoin),715730907362115588,hfangca,10917,471,3055,208
🥷 Gokhshtein Media,1061044193269833728,gokhshteinmedia,63874,354,11214,145
Baza,4114406787,bazattak007,75900,471,28171,16
IGSquawk,1533387092,IGSquawk,59610,687,41298,1700
BlockFi,933113177197264896,BlockFi,148158,39,11552,1325
"Mike Jackson, Esq.",97832363,TheTruthJackson,7613,564,165894,159
Alistair Milne,20902138,alistairmilne,116816,2311,16825,2283
Barrett Sallee,46260740,BarrettSallee,104568,1994,212220,1761
Robert Jameson,83603493,rhjameson,4085,1342,67253,111
Lark Davis,30325257,TheCryptoLark,863451,448,39045,5309
Orlando Alzugaray Jr,23536653,BigOShow,97016,7921,204212,517
Real Vision,2320755170,RealVision,316449,1824,15801,3355
PCMag,15066271,PCMag,389540,1504,121861,9073
Tom Merritt,610533,acedtect,97645,1436,62670,5693
Bobbi Billard,15069237,bobbibillard,91067,13299,31404,1037
Derek Ross 🌋⚡,9768732,derekmross,7131,3449,43845,206
Bitcoin Magazine,361289499,BitcoinMagazine,2042007,679,20264,12389
Quartz,573918122,qz,385755,235,188507,9618
Caitlin Long 🔑⚡️🟠,717926102614716417,CaitlinLong_,166645,2092,12135,3069
Suppoman,2256822183,MichaelSuppo,122415,122,5223,931
Rob Port,14189016,robport,6283,2254,81588,185
Tim Pritlove,11268812,timpritlove,55654,1461,41370,1392
Jamie Redman,2897392085,jamieCrypto,10759,1818,8883,430
Denise M. Watson,584238507,Denisewrites,1641,847,31903,66
Tortoise,607698782,tortoise,77815,2018,36966,555
Preston Pysh,538399586,PrestonPysh,375757,860,24574,4967
John Lilic ₿ Ξ ∞ 💜 🍊 #ZKEVM,3362913279,JohnLilic,31384,7978,26866,769
Rory.,4462220188,RawrEWreckz,3101,1164,69101,24
Juan Lopez-Valcarcel,8921752,jlopezvalcarcel,3344,1260,13094,221
TheStreet,15281391,TheStreet,822147,1241,220405,7312
Jathan Sadowski,561722062,jathansadowski,14409,374,28030,298
Fintwit,932271127648489473,fintwit_news,113739,420,20438,1058
Jason Nelson,739164545306918912,dragonwolftech,4293,4952,22533,66
Manny Alicandro,992623688028774400,Manny_Alicandro,16692,13789,1093,41
Michael Saylor⚡️,244647486,saylor,2162219,552,2968,12750
Lyn Alden,823766058909761536,LynAldenContact,348852,285,10125,6104
Perry-John Parker,160887563,perryjp,1724,657,5134,18
Bloomberg Wealth,1668256296,wealth,63379,1523,22606,736
Market Rebellion,817007725666242561,MarketRebels,183911,267,38677,1775
C.J. Wilson,20012454,str8edgeracer,197743,964,28692,2911
Paxful,2307190704,paxful,114809,197,26935,414
Daniella Chavez,284570882,daniellachavezc,1775273,24,17852,2087
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
Decrypt,993530753014054912,decryptmedia,93405,1570,27743,1766
Wendy Rogers,96502351,WendyRogersAZ,255939,6785,17629,844
Paul R. La Monica,104952689,LaMonicaBuzz,49292,4893,137613,1510
Paul Colgan,3684431,Colgo,15329,4873,51800,611
J◎e McCann,14814762,joemccann,44765,1677,79059,1188
JoeMyGod,16490790,JoeMyGod,78893,1475,188206,1791
Namcios,1273776346771132417,namcios,3568,583,1497,57
Matt Browner Hamlin,2207861,mattkbh,7070,2030,10593,228
Bloomberg Wealth,1668256296,wealth,63379,1523,22606,736
Hedgeye,18719020,Hedgeye,120628,1130,77888,2613
