item.start,item.end,item.tweet_count
2022-01-22T00:09:51.000Z,2022-01-22T01:00:00.000Z,16166
2022-01-22T01:00:00.000Z,2022-01-22T02:00:00.000Z,18475
2022-01-22T02:00:00.000Z,2022-01-22T03:00:00.000Z,16978
2022-01-22T03:00:00.000Z,2022-01-22T04:00:00.000Z,16762
2022-01-22T04:00:00.000Z,2022-01-22T05:00:00.000Z,16834
2022-01-22T05:00:00.000Z,2022-01-22T06:00:00.000Z,18330
2022-01-22T06:00:00.000Z,2022-01-22T07:00:00.000Z,20461
2022-01-22T07:00:00.000Z,2022-01-22T08:00:00.000Z,19896
2022-01-22T08:00:00.000Z,2022-01-22T09:00:00.000Z,22938
2022-01-22T09:00:00.000Z,2022-01-22T10:00:00.000Z,22068
2022-01-22T10:00:00.000Z,2022-01-22T11:00:00.000Z,22908
2022-01-22T11:00:00.000Z,2022-01-22T12:00:00.000Z,22774
2022-01-22T12:00:00.000Z,2022-01-22T13:00:00.000Z,24162
2022-01-22T13:00:00.000Z,2022-01-22T14:00:00.000Z,25942
2022-01-22T14:00:00.000Z,2022-01-22T15:00:00.000Z,25430
2022-01-22T15:00:00.000Z,2022-01-22T16:00:00.000Z,25161
2022-01-22T16:00:00.000Z,2022-01-22T17:00:00.000Z,26942
2022-01-22T17:00:00.000Z,2022-01-22T18:00:00.000Z,24423
2022-01-22T18:00:00.000Z,2022-01-22T19:00:00.000Z,24862
2022-01-22T19:00:00.000Z,2022-01-22T20:00:00.000Z,22599
2022-01-22T20:00:00.000Z,2022-01-22T21:00:00.000Z,20613
2022-01-22T21:00:00.000Z,2022-01-22T22:00:00.000Z,18672
2022-01-22T22:00:00.000Z,2022-01-22T23:00:00.000Z,17146
2022-01-22T23:00:00.000Z,2022-01-23T00:00:00.000Z,15487
2022-01-23T00:00:00.000Z,2022-01-23T01:00:00.000Z,14684
2022-01-23T01:00:00.000Z,2022-01-23T02:00:00.000Z,15911
2022-01-23T02:00:00.000Z,2022-01-23T03:00:00.000Z,15658
2022-01-23T03:00:00.000Z,2022-01-23T04:00:00.000Z,17821
2022-01-23T04:00:00.000Z,2022-01-23T05:00:00.000Z,18403
2022-01-23T05:00:00.000Z,2022-01-23T06:00:00.000Z,20989
2022-01-23T06:00:00.000Z,2022-01-23T07:00:00.000Z,19881
2022-01-23T07:00:00.000Z,2022-01-23T08:00:00.000Z,19604
2022-01-23T08:00:00.000Z,2022-01-23T09:00:00.000Z,21859
2022-01-23T09:00:00.000Z,2022-01-23T10:00:00.000Z,21923
2022-01-23T10:00:00.000Z,2022-01-23T11:00:00.000Z,21379
2022-01-23T11:00:00.000Z,2022-01-23T12:00:00.000Z,21353
2022-01-23T12:00:00.000Z,2022-01-23T13:00:00.000Z,25277
2022-01-23T13:00:00.000Z,2022-01-23T14:00:00.000Z,25977
2022-01-23T14:00:00.000Z,2022-01-23T15:00:00.000Z,26595
2022-01-23T15:00:00.000Z,2022-01-23T16:00:00.000Z,26773
2022-01-23T16:00:00.000Z,2022-01-23T17:00:00.000Z,25911
2022-01-23T17:00:00.000Z,2022-01-23T18:00:00.000Z,23918
