item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
item.name,item.id,item.username,"item.public_metrics[""followers_count""]","item.public_metrics[""following_count""]","item.public_metrics[""tweet_count""]","item.public_metrics[""listed_count""]"
Shane Hazel,123036487,ShaneTHazel,33767,2654,26515,112
Mohamed A. ₿asset,219719193,SymbianSyMoh,25166,795,73744,237
Chris Dunn,14923571,ChrisDunnTV,56055,169,13002,1107
Bitcoin Magazine,361289499,BitcoinMagazine,2039597,676,20251,12388
CoinDesk,1333467482,CoinDesk,2642090,1466,88451,19234
Pomp 🌪,339061487,APompliano,1481838,6475,62377,14226
./kevinsekniqi 🔺 good vibes only,995834351316324352,kevinsekniqi,52735,791,4761,666
Preston Byrne,151936663,prestonjbyrne,51791,2580,12255,1813
Ledger,2652239532,Ledger,291926,262,16662,2684
Pomp 🌪,339061487,APompliano,1481838,6475,62377,14226
David Levitt,292450753,dmlevitt,7138,1568,11427,356
Digital Asset Investor,991345218678116353,digitalassetbuy,241158,5125,15700,838
Miami New Times,16861311,MiamiNewTimes,217403,2031,65478,2085
Lolli 🍭,971046392872521730,trylolli,65124,1245,19615,516
Bitcoin News,3367334171,BTCTN,2311467,921,24842,10331
USA TODAY Opinion,133052366,usatodayopinion,25415,919,57331,586
Nicholas Weaver,2427244933,ncweaver,19850,394,38455,547
MMCrypto,904700529988820992,MMCrypto,746019,3366,7096,2776
Taylor Wimberly,14318328,wimbet,8120,8984,10383,172
Derek Ross 🌋⚡,9768732,derekmross,7108,3446,43818,206
Tyler Winklevoss,24222556,tyler,1018746,2654,11942,8082
Unchained Capital,798698426259148800,unchainedcap,28042,638,4666,599
Nicholas Weaver,2427244933,ncweaver,19850,394,38455,547
Jay Gould,1414971,jaygould,65871,470,4284,312
Numbrs,1251697254,Numbrs,171255,52,752,436
Jeff Booth,16461706,JeffBooth,299766,5115,7459,2470
John DePetro Show,22407018,JohnDePetroshow,14220,998,96283,166
